delay_bucket,order_count,avg_score,pct_1star
① On Time,89163,4.2108180070016274,8.35824113363974
② Late 1-3d,2354,3.5588012139605465,19.399624765478425
③ Late 4-7d,1795,2.21406411582213,54.11646586345381
④ Late 8-14d,1667,1.7209302325581395,67.35246345425013
⑤ Late 14d+,1499,1.7193203272498427,67.0909090909091
