product_category_name_english,gmv,orders,avg_score,delay_rate,avg_delay
bed_bath_table,1692714.28,9272,3.9248453513064354,0.0792476946955172,-11.069843878389483
health_beauty,1620684.04,8647,4.18932142097426,0.08515583729529846,-11.367353407290016
computers_accessories,1549372.59,6530,3.9886961093585698,0.0739141810570382,-11.793667408085831
furniture_decor,1394466.93,6307,3.956559405940594,0.07916666666666666,-11.83063725490196
watches_gifts,1387362.45,5495,4.071711092003439,0.07885304659498207,-11.317227249445109
sports_leisure,1349446.93,7530,4.165075196944378,0.07033566599454394,-11.398339264531435
housewares,1069787.97,5743,4.107904085257549,0.05783664459161148,-11.711552612214863
auto,833745.67,3810,4.11612588436204,0.0782608695652174,-10.826044938390917
garden_tools,810614.93,3448,4.083254716981132,0.07403936269915651,-11.405576382380506
cool_stuff,744649.32,3559,4.194632691786392,0.06347498655190963,-11.903980634749866
office_furniture,636124.88,1254,3.516324062877872,0.08513189448441247,-11.245803357314148
toys,603564.32,3804,4.20830207551888,0.06873449131513648,-11.495160089352197
baby,525553.22,2809,4.078404866508956,0.08249496981891348,-11.041582830315225
perfumery,496263.6,3086,4.21898468008411,0.06946107784431138,-11.831137724550898
telephony,469890.57,4093,3.9943233424159854,0.07742663656884875,-10.79548532731377
stationery,308674.31,2264,4.246838025295798,0.07745336577453366,-11.427818329278184
pet_shop,307716.36,1688,4.216710182767624,0.057692307692307696,-11.938149688149688
computers,274671.88,177,4.219387755102041,0.05527638190954774,-10.964824120603016
unknown,247206.3,1412,3.9327731092436973,0.08338678640153944,-10.801154586273253
electronics,245869.53,2517,4.067158671586716,0.08794430194210333,-10.524001465738365
construction_tools_construction,237873.48,736,4.088913282107574,0.07860262008733625,-10.974890829694322
musical_instruments,221118.16,611,4.221705426356589,0.08294930875576037,-10.910906298003072
small_appliances,217024.02,609,4.226646248085758,0.05319148936170213,-13.288753799392097
fashion_bags_accessories,213517.16,1820,4.193417721518987,0.058438287153652395,-12.755667506297229
fixed_telephony,192338.38999999998,212,3.757936507936508,0.0392156862745098,-14.156862745098039
luggage_accessories,185054.2,1019,4.352283317800559,0.05013927576601671,-12.042711234911792
consoles_games,183804.19,1018,4.139017608897127,0.06703397612488522,-11.070707070707071
home_construction,134616.24,483,3.95777027027027,0.07550335570469799,-10.951342281879194
furniture_living_room,134299.11,414,3.9346938775510205,0.07676767676767676,-11.28080808080808
home_appliances_2,118854.06,227,4.156521739130435,0.06926406926406926,-11.891774891774892
agro_industry_and_commerce,115632.24,177,4.087378640776699,0.038834951456310676,-10.820388349514563
home_appliances,93843.62,747,4.226364846870839,0.05702917771883289,-12.006631299734748
air_conditioning,88849.72,246,4.052816901408451,0.03806228373702422,-13.570934256055363
home_confort,83694.01,392,3.8618266978922717,0.10023310023310024,-9.233100233100233
kitchen_dining_laundry_garden_furniture,73406.15,241,4.033088235294118,0.043795620437956206,-11.773722627737227
construction_tools_lights,70343.2,242,4.082191780821918,0.07973421926910298,-10.647840531561462
drinks,68909.73,287,4.119113573407202,0.05263157894736842,-10.853185595567867
signaling_and_security,68263.59,138,4.091836734693878,0.04060913705583756,-12.16751269035533
books_general_interest,62818.01,496,4.512195121951219,0.061452513966480445,-11.529850746268657
construction_tools_safety,60932.07,159,3.967032967032967,0.04918032786885246,-11.819672131147541
audio,60181.0,348,3.835195530726257,0.12154696132596685,-9.533149171270718
industry_commerce_and_business,55270.81,232,4.125954198473282,0.06792452830188679,-11.886363636363637
small_appliances_home_oven_and_coffee,50281.65,72,4.438356164383562,0.0684931506849315,-10.986301369863014
food,45340.45,441,4.262833675564682,0.08617234468937876,-9.264529058116233
market_place,44615.77,274,4.072607260726072,0.036065573770491806,-14.072131147540984
costruction_tools_garden,41506.7,190,4.116379310344827,0.06465517241379311,-12.956896551724139
fashion_shoes,31755.93,235,4.300395256916996,0.05058365758754864,-14.295719844357977
furniture_bedroom,30057.23,90,4.252427184466019,0.07766990291262135,-12.932038834951456
art,28498.45,195,4.082051282051282,0.07106598984771574,-12.208121827411167
food_drink,26609.43,221,4.364312267657993,0.05204460966542751,-10.970260223048328
books_technical,24437.39,256,4.3893129770992365,0.08745247148288973,-10.653992395437262
costruction_tools_tools,21069.07,97,4.444444444444445,0.05825242718446602,-11.640776699029127
christmas_supplies,18893.4,125,4.06993006993007,0.12,-11.426666666666666
fashion_male_clothing,16723.46,106,3.7580645161290325,0.056,-12.136
fashion_underwear_beach,12416.82,117,4.0476190476190474,0.11811023622047244,-10.259842519685039
